person,date,coral,pre.mass,post.mass,wax.weight,slope,intercept,surface.area,temp,location,notes
Gil,6/26/2024,HH61A,0.89,1.039,0.149,19,-0.177,2.654,29,Hilton,
Gil,6/26/2024,HH61C,1.355,1.618,0.263,19,-0.177,4.82,36,Hilton,
Gil,6/26/2024,HH69A,1.818,2.108,0.29,19,-0.177,5.333,29,Hilton,
Gil,6/26/2024,HH69C,2.411,2.814,0.403,19,-0.177,7.48,36,Hilton,
Gil,6/26/2024,HH60A,1.844,2.163,0.319,19,-0.177,5.884,29,Hilton,
Gil,6/26/2024,HH60C,0.95,1.094,0.144,19,-0.177,2.559,36,Hilton,
Lainie,6/26/2024,HH57A,2.848,3.472,0.624,19,-0.177,11.679,29,Hilton,
Lainie,6/26/2024,HH57C,2.597,3.165,0.568,19,-0.177,10.615,36,Hilton,
Lainie,6/26/2024,HH58A,1.107,1.382,0.275,19,-0.177,5.048,29,Hilton,
Lainie,6/26/2024,HH58C,0.946,1.186,0.24,19,-0.177,4.383,36,Hilton,
Lainie,6/26/2024,HH59A,1.28,1.623,0.343,19,-0.177,6.34,29,Hilton,
Lainie,6/26/2024,HH59C,1.441,1.777,0.336,19,-0.177,6.207,36,Hilton,
Lainie,6/26/2024,HH67A,2.681,3.231,0.55,19,-0.177,10.273,29,Hilton,
Lainie,6/26/2024,HH67C,1.794,2.208,0.414,19,-0.177,7.689,36,Hilton,
Lainie,6/26/2024,HH68A,1.387,1.74,0.353,19,-0.177,6.53,29,Hilton,
Lainie,6/26/2024,HH68C,2.019,2.505,0.486,19,-0.177,9.057,36,Hilton,
Lainie,6/26/2024,HH63A,1.521,1.846,0.325,19,-0.177,5.998,29,Hilton,
Lainie,6/26/2024,HH63C,2.705,3.178,0.473,19,-0.177,8.81,36,Hilton,
Lainie,6/26/2024,HH64A,1.618,1.964,0.346,19,-0.177,6.397,29,Hilton,
Lainie,6/26/2024,HH64C,1.335,1.685,0.35,19,-0.177,6.473,36,Hilton,
Lainie,6/26/2024,HH70A,1.53,1.912,0.382,19,-0.177,7.081,29,Hilton,
Lainie,6/26/2024,HH70C,1.059,1.313,0.254,19,-0.177,4.649,36,Hilton,
Lainie,6/26/2024,HH71A,1.857,2.281,0.424,19,-0.177,7.879,29,Hilton,
Lainie,6/26/2024,HH71C,1.867,2.343,0.476,19,-0.177,8.867,36,Hilton,
Lainie,6/26/2024,HH73A,1.312,1.609,0.297,19,-0.177,5.466,29,Hilton,
Lainie,6/26/2024,HH73C,1.041,1.253,0.212,19,-0.177,3.851,36,Hilton,
Lainie,6/26/2024,HH55A,1.536,1.822,0.286,19,-0.177,5.257,29,Hilton,
Lainie,6/26/2024,HH55C,1.857,2.217,0.36,19,-0.177,6.663,36,Hilton,
Lainie,6/26/2024,HH56A,2.827,3.411,0.584,19,-0.177,10.919,29,Hilton,
Lainie,6/26/2024,HH56C,1.26,1.549,0.289,19,-0.177,5.314,36,Hilton,
Lainie,6/26/2024,HH62A,1.422,1.766,0.344,19,-0.177,6.359,29,Hilton,
Lainie,6/26/2024,HH62C,1.106,1.389,0.283,19,-0.177,5.2,36,Hilton,
Lainie,6/26/2024,HH65A,2.062,2.553,0.491,19,-0.177,9.152,29,Hilton,
Lainie,6/26/2024,HH65C,1.54,1.943,0.403,19,-0.177,7.48,36,Hilton,
Lainie,6/26/2024,HH66A,1.404,1.765,0.361,19,-0.177,6.682,29,Hilton,
Lainie,6/26/2024,HH66C,1.758,2.197,0.439,19,-0.177,8.164,36,Hilton,
Lainie,6/26/2024,HH72A,1.766,2.122,0.356,19,-0.177,6.587,29,Hilton,
Lainie,6/26/2024,HH72C,1.476,1.791,0.315,19,-0.177,5.808,36,Hilton,
Lainie,6/26/2024,HH49A,1.387,1.675,0.288,19,-0.177,5.295,29,Hilton,
Lainie,6/26/2024,HH49C,1.42,1.708,0.288,19,-0.177,5.295,36,Hilton,
Lainie,6/26/2024,HH50A,1.29,1.608,0.318,19,-0.177,5.865,29,Hilton,
Lainie,6/26/2024,HH50C,1.162,1.419,0.257,19,-0.177,4.706,36,Hilton,
Lainie,6/26/2024,HH51A,0.837,1.002,0.165,19,-0.177,2.958,29,Hilton,
Lainie,6/26/2024,HH51C,1.044,1.258,0.214,19,-0.177,3.889,36,Hilton,
Lainie,6/26/2024,HH52A,1.771,2.169,0.398,19,-0.177,7.385,29,Hilton,
Lainie,6/26/2024,HH52C,1.934,2.295,0.361,19,-0.177,6.682,36,Hilton,
Lainie,6/26/2024,HH53A,1.65,2.04,0.39,19,-0.177,7.233,29,Hilton,
Lainie,6/26/2024,HH53C,1.395,1.738,0.343,19,-0.177,6.34,36,Hilton,a weird stringy bubble formed at the end
Lainie,6/26/2024,HH54A,1.578,1.988,0.41,19,-0.177,7.613,29,Hilton,
Lainie,6/26/2024,HH54C,1.436,1.798,0.362,19,-0.177,6.701,36,Hilton,
Gil,6/27/2024,HR04A,3.958,4.458,0.5,28.5,0.174,14.424,29,Hilton,
Gil,6/27/2024,HR04C,2.866,3.265,0.399,28.5,0.174,11.5455,36,Hilton,
Gil,6/27/2024,JR08A,1.847,2.137,0.29,28.5,0.174,8.439,29,Jetski,
Gil,6/27/2024,JR08C,1.816,2.093,0.277,28.5,0.174,8.0685,36,Jetski,
Gil,6/27/2024,JR09A,1.81,2.083,0.273,28.5,0.174,7.9545,29,Jetski,
Gil,6/27/2024,JR09C,2.162,2.475,0.313,28.5,0.174,9.0945,36,Jetski,
Gil,6/27/2024,JH53A,1.875,2.196,0.321,28.5,0.174,9.3225,29,Jetski,
Gil,6/27/2024,JH53C,1.252,1.463,0.211,28.5,0.174,6.1875,36,Jetski,
Gil,6/27/2024,JH52A,1.432,1.651,0.219,28.5,0.174,6.4155,29,Jetski,
Gil,6/27/2024,JH52C,1.675,1.888,0.213,28.5,0.174,6.2445,36,Jetski,Pre.mass was not intially recorded. Redo
Gil,6/27/2024,JH51A,3.161,3.581,0.42,28.5,0.174,12.144,29,Jetski,
Gil,6/27/2024,JH51C,1.778,2.036,0.258,28.5,0.174,7.527,36,Jetski,
Gil,6/27/2024,JH54A,1.735,1.998,0.263,28.5,0.174,7.6695,29,Jetski,
Gil,6/27/2024,JH54C,1.262,1.472,0.21,28.5,0.174,6.159,36,Jetski,
Gil,6/27/2024,JH57A,1.751,2.036,0.285,28.5,0.174,8.2965,29,Jetski,
Gil,6/27/2024,JH57C,2.304,2.623,0.319,28.5,0.174,9.2655,36,Jetski,
Gil,6/27/2024,JR10A,1.822,2.065,0.243,28.5,0.174,7.0995,29,Jetski,
Gil,6/27/2024,JR10C,2.925,3.321,0.396,28.5,0.174,11.46,36,Jetski,
Lainie,6/27/2024,JH55A,0.836,1.007,0.171,28.5,0.174,5.0475,29,Jetski,
